TRACK_ID	gene	IP_tag	timepoint	rep	ChIPmix
AN0148_sCopy_OE_16h_HA_ChIPMix46_1	AN0148	HA	16h	1	ChIPMix46
AN0148_sCopy_OE_16h_polII_ChIPMix55_1	AN0148	polII	16h	1	ChIPMix55
AN0153_sCopy_OE_16h_HA_ChIPMix46_1	AN0153	HA	16h	1	ChIPMix46
AN0153_sCopy_OE_16h_HA_ChIPMix55_2	AN0153	HA	16h	2	ChIPMix55
AN0153_sCopy_OE_16h_polII_ChIPMix55_1	AN0153	polII	16h	1	ChIPMix55
AN0153_sCopy_OE_16h_polII_ChIPMix60_2	AN0153	polII	16h	2	ChIPMix60
AN0533_mCopy_OE_16h_HIS_ChIPMix17_1	AN0533	HIS	16h	1	ChIPMix17
AN0533_mCopy_OE_16h_polII_ChIPMix17_1	AN0533	polII	16h	1	ChIPMix17
AN0533_sCopy_OE_16h_HIS_ChIPMix55_1	AN0533	HIS	16h	1	ChIPMix55
AN0533_sCopy_OE_16h_HIS_ChIPMix36_2	AN0533	HIS	16h	2	ChIPMix36
AN0533_sCopy_OE_16h_polII_ChIPMix60_2	AN0533	polII	16h	2	ChIPMix60
AN10021_sCopy_OE_16h_HA_ChIPMix36_1	AN10021	HA	16h	1	ChIPMix36
AN10021_sCopy_OE_16h_HA_ChIPMix36_2	AN10021	HA	16h	2	ChIPMix36
AN10021_sCopy_OE_16h_polII_ChIPMix60_1	AN10021	polII	16h	1	ChIPMix60
AN10021_sCopy_OE_16h_polII_ChIPMix60_2	AN10021	polII	16h	2	ChIPMix60
AN1029_sCopy_OE_16h_HA_ChIPMix36_1	AN1029	HA	16h	1	ChIPMix36
AN1029_sCopy_OE_16h_HA_ChIPMix46_2	AN1029	HA	16h	2	ChIPMix46
AN1029_sCopy_OE_16h_polII_ChIPMix55_1	AN1029	polII	16h	1	ChIPMix55
AN10294_sCopy_OE_16h_HA_ChIPMix46_1	AN10294	HA	16h	1	ChIPMix46
AN10294_sCopy_OE_16h_HA_ChIPMix55_2	AN10294	HA	16h	2	ChIPMix55
AN10294_sCopy_OE_16h_polII_ChIPMix55_1	AN10294	polII	16h	1	ChIPMix55
AN10294_sCopy_OE_16h_polII_ChIPMix55_2	AN10294	polII	16h	2	ChIPMix55
AN10295_DBD_sCopy_OE_16h_HA_ChIPMix36_1	AN10295_DBD	HA	16h	1	ChIPMix36
AN10295_DBD_sCopy_OE_16h_HA_ChIPMix36_2	AN10295_DBD	HA	16h	2	ChIPMix36
AN10295_del_16h_polII_ChIPMix55_1	AN10295_del	polII	16h	1	ChIPMix55
AN10295_mCopy_OE_16h_HA_ChIPMix17_1	AN10295	HA	16h	1	ChIPMix17
AN10295_mCopy_OE_16h_polII_ChIPMix17_1	AN10295	polII	16h	1	ChIPMix17
AN10295_mCopy_OE_TSA_16h_HA_ChIPMix19_1	AN10295	HA	16h	1	ChIPMix19
AN10295_sCopy_OE_96h_H3_ChIPMix34_1	AN10295	H3	96h	1	ChIPMix34
AN10295_sCopy_OE_16h_HA_ChIPMix55_1	AN10295	HA	16h	1	ChIPMix55
AN10295_sCopy_OE_16h_HA_ChIPMix36_2	AN10295	HA	16h	2	ChIPMix36
AN10295_sCopy_OE_16h_polII_ChIPMix60_2	AN10295	polII	16h	2	ChIPMix60
