TRACK_ID	gene	condition	IP_tag	timepoint	rep	ChIPmix
10_FAIL_sCopy_OE_16h_HA_ChIPMix64_0	10_FAIL	10_FAIL_sCopy_OE	HA	16h	0	ChIPMix64
15_FAIL_sCopy_OE_16h_HA_ChIPMix64_0	15_FAIL	15_FAIL_sCopy_OE	HA	16h	0	ChIPMix64
17_FAIL_sCopy_OE_16h_HA_ChIPMix64_0	17_FAIL	17_FAIL_sCopy_OE	HA	16h	0	ChIPMix64
24_FAIL_sCopy_OE_16h_HA_ChIPMix64_0	24_FAIL	24_FAIL_sCopy_OE	HA	16h	0	ChIPMix64
29_FAIL_sCopy_OE_16h_HA_ChIPMix64_0	29_FAIL	29_FAIL_sCopy_OE	HA	16h	0	ChIPMix64
AN0148_sCopy_OE_16h_HA_ChIPMix46_1	AN0148	AN0148_sCopy_OE	HA	16h	1	ChIPMix46
AN0148_sCopy_OE_16h_HA_ChIPMix66_2	AN0148	AN0148_sCopy_OE	HA	16h	2	ChIPMix66
AN0148_sCopy_OE_16h_polII_ChIPMix55_1	AN0148	AN0148_sCopy_OE	polII	16h	1	ChIPMix55
AN0148_sCopy_OE_16h_polII_ChIPMix66_2	AN0148	AN0148_sCopy_OE	polII	16h	2	ChIPMix66
AN0153_sCopy_OE_16h_HA_ChIPMix46_1	AN0153	AN0153_sCopy_OE	HA	16h	1	ChIPMix46
AN0153_sCopy_OE_16h_HA_ChIPMix55_2	AN0153	AN0153_sCopy_OE	HA	16h	2	ChIPMix55
AN0153_sCopy_OE_16h_HA_ChIPMix64_3	AN0153	AN0153_sCopy_OE	HA	16h	3	ChIPMix64
AN0153_sCopy_OE_16h_polII_ChIPMix55_1	AN0153	AN0153_sCopy_OE	polII	16h	1	ChIPMix55
AN0153_sCopy_OE_16h_polII_ChIPMix60_2	AN0153	AN0153_sCopy_OE	polII	16h	2	ChIPMix60
AN0533_mCopy_OE_16h_HIS_ChIPMix17_1	AN0533	AN0533_mCopy_OE	HIS	16h	1	ChIPMix17
AN0533_mCopy_OE_16h_polII_ChIPMix17_1	AN0533	AN0533_mCopy_OE	polII	16h	1	ChIPMix17
AN0533_sCopy_OE_16h_HIS_ChIPMix55_1	AN0533	AN0533_sCopy_OE	HIS	16h	1	ChIPMix55
AN0533_sCopy_OE_16h_HIS_ChIPMix36_2	AN0533	AN0533_sCopy_OE	HIS	16h	2	ChIPMix36
AN0533_sCopy_OE_16h_HIS_ChIPMix64_3	AN0533	AN0533_sCopy_OE	HIS	16h	3	ChIPMix64
AN0533_sCopy_OE_16h_polII_ChIPMix60_2	AN0533	AN0533_sCopy_OE	polII	16h	2	ChIPMix60
AN0533_sCopy_OE_16h_polII_ChIPMix66_3	AN0533	AN0533_sCopy_OE	polII	16h	3	ChIPMix66
AN10021_sCopy_OE_16h_HA_ChIPMix36_1	AN10021	AN10021_sCopy_OE	HA	16h	1	ChIPMix36
AN10021_sCopy_OE_16h_HA_ChIPMix36_2	AN10021	AN10021_sCopy_OE	HA	16h	2	ChIPMix36
AN10021_sCopy_OE_16h_polII_ChIPMix60_1	AN10021	AN10021_sCopy_OE	polII	16h	1	ChIPMix60
AN10021_sCopy_OE_16h_polII_ChIPMix60_2	AN10021	AN10021_sCopy_OE	polII	16h	2	ChIPMix60
AN10021_sCopy_OE_16h_polII_ChIPMix66_3	AN10021	AN10021_sCopy_OE	polII	16h	3	ChIPMix66
AN1029_sCopy_OE_16h_HA_ChIPMix36_1	AN1029	AN1029_sCopy_OE	HA	16h	1	ChIPMix36
AN1029_sCopy_OE_16h_HA_ChIPMix46_2	AN1029	AN1029_sCopy_OE	HA	16h	2	ChIPMix46
AN1029_sCopy_OE_16h_polII_ChIPMix55_1	AN1029	AN1029_sCopy_OE	polII	16h	1	ChIPMix55
AN1029_sCopy_OE_16h_polII_ChIPMix66_2	AN1029	AN1029_sCopy_OE	polII	16h	2	ChIPMix66
AN10294_sCopy_OE_16h_HA_ChIPMix46_1	AN10294	AN10294_sCopy_OE	HA	16h	1	ChIPMix46
AN10294_sCopy_OE_16h_HA_ChIPMix55_2	AN10294	AN10294_sCopy_OE	HA	16h	2	ChIPMix55
AN10294_sCopy_OE_16h_polII_ChIPMix55_1	AN10294	AN10294_sCopy_OE	polII	16h	1	ChIPMix55
AN10294_sCopy_OE_16h_polII_ChIPMix55_2	AN10294	AN10294_sCopy_OE	polII	16h	2	ChIPMix55
AN10295_mCopy_OE_16h_HA_ChIPMix17_1	AN10295	AN10295_mCopy_OE	HA	16h	1	ChIPMix17
AN10295_mCopy_OE_16h_polII_ChIPMix17_1	AN10295	AN10295_mCopy_OE	polII	16h	1	ChIPMix17
AN10295_mCopy_OE_TSA_16h_HA_ChIPMix19_1	AN10295	AN10295_mCopy_OE_TSA	HA	16h	1	ChIPMix19
AN10295_sCopy_OE_96h_H3_ChIPMix34_1	AN10295	AN10295_sCopy_OE	H3	96h	1	ChIPMix34
AN10295_sCopy_OE_16h_HA_ChIPMix55_1	AN10295	AN10295_sCopy_OE	HA	16h	1	ChIPMix55
AN10295_sCopy_OE_16h_HA_ChIPMix36_2	AN10295	AN10295_sCopy_OE	HA	16h	2	ChIPMix36
AN10295_sCopy_OE_16h_HA_ChIPMix64_3	AN10295	AN10295_sCopy_OE	HA	16h	3	ChIPMix64
AN10295_sCopy_OE_96h_polII_ChIPMix34_1	AN10295	AN10295_sCopy_OE	polII	96h	1	ChIPMix34
AN10295_sCopy_OE_16h_polII_ChIPMix60_2	AN10295	AN10295_sCopy_OE	polII	16h	2	ChIPMix60
AN10295_sCopy_OE_16h_polII_ChIPMix66_3	AN10295	AN10295_sCopy_OE	polII	16h	3	ChIPMix66
AN10295_DBD_sCopy_OE_16h_HA_ChIPMix36_1	AN10295_DBD	AN10295_DBD_sCopy_OE	HA	16h	1	ChIPMix36
AN10295_DBD_sCopy_OE_16h_HA_ChIPMix36_2	AN10295_DBD	AN10295_DBD_sCopy_OE	HA	16h	2	ChIPMix36
AN10295_DBD_sCopy_OE_16h_HA_ChIPMix64_3	AN10295_DBD	AN10295_DBD_sCopy_OE	HA	16h	3	ChIPMix64
AN10295_DBD_sCopy_OE_16h_HA_ChIPMix64_4	AN10295_DBD	AN10295_DBD_sCopy_OE	HA	16h	4	ChIPMix64
AN10295_del_16h_polII_ChIPMix55_1	AN10295_del	AN10295_del	polII	16h	1	ChIPMix55
AN10300_sCopy_OE_16h_FLAG_ChIPMix36_1	AN10300	AN10300_sCopy_OE	FLAG	16h	1	ChIPMix36
AN10300_sCopy_OE_20h_FLAG_ChIPMix55_1	AN10300	AN10300_sCopy_OE	FLAG	20h	1	ChIPMix55
AN10300_sCopy_OE_60h_FLAG_ChIPMix55_1	AN10300	AN10300_sCopy_OE	FLAG	60h	1	ChIPMix55
AN10300_sCopy_OE_spore_FLAG_ChIPMix55_1	AN10300	AN10300_sCopy_OE	FLAG	spore	1	ChIPMix55
AN10300_sCopy_OE_16h_FLAG_ChIPMix46_2	AN10300	AN10300_sCopy_OE	FLAG	16h	2	ChIPMix46
AN10300_sCopy_OE_16h_FLAG_ChIPMix46_3	AN10300	AN10300_sCopy_OE	FLAG	16h	3	ChIPMix46
AN10300_sCopy_OE_16h_input_FLAG_ChIPMix55_1	AN10300	AN10300_sCopy_OE	input_FLAG	16h	1	ChIPMix55
AN10300_sCopy_OE_16h_input_FLAG_ChIPMix55_2	AN10300	AN10300_sCopy_OE	input_FLAG	16h	2	ChIPMix55
AN10300_sCopy_OE_16h_polII_ChIPMix36_1	AN10300	AN10300_sCopy_OE	polII	16h	1	ChIPMix36
AN10300_sCopy_OE_16h_polII_ChIPMix60_2	AN10300	AN10300_sCopy_OE	polII	16h	2	ChIPMix60
AN10300_sCopy_OE_16h_polII_ChIPMix66_3	AN10300	AN10300_sCopy_OE	polII	16h	3	ChIPMix66
AN10491_sCopy_OE_16h_HA_ChIPMix36_1	AN10491	AN10491_sCopy_OE	HA	16h	1	ChIPMix36
AN10491_sCopy_OE_16h_HA_ChIPMix46_2	AN10491	AN10491_sCopy_OE	HA	16h	2	ChIPMix46
AN10491_sCopy_OE_16h_polII_ChIPMix55_1	AN10491	AN10491_sCopy_OE	polII	16h	1	ChIPMix55
AN10491_sCopy_OE_16h_polII_ChIPMix60_2	AN10491	AN10491_sCopy_OE	polII	16h	2	ChIPMix60
AN10600_sCopy_OE_16h_HA_ChIPMix46_1	AN10600	AN10600_sCopy_OE	HA	16h	1	ChIPMix46
AN10600_sCopy_OE_16h_HA_ChIPMix55_2	AN10600	AN10600_sCopy_OE	HA	16h	2	ChIPMix55
AN10600_sCopy_OE_16h_HA_ChIPMix64_3	AN10600	AN10600_sCopy_OE	HA	16h	3	ChIPMix64
