regionId	side
region_24	bottom
region_51	bottom
region_02	bottom
region_45	bottom
region_07	bottom
region_46	bottom
region_04	bottom
region_42	bottom
region_03	bottom
region_30	bottom
region_43	bottom
region_06	bottom
region_27	bottom
region_08	left
region_53	left
region_26	left
region_52	left
region_09	left
region_35	left
region_25	left
region_29	left
region_21	left
region_16	left
region_33	left
region_41	left
region_10	left
region_48	left
region_13	left
region_50	left
region_44	right
region_36	right
region_37	right
region_39	right
region_11	right
region_22	right
region_56	right
region_47	right
region_32	right
region_49	right
region_05	right
region_17	right
region_15	right
region_18	right
region_38	right
region_12	right
region_31	right
region_34	top
region_14	top
region_58	top
region_55	top
region_54	top
region_19	top
region_01	top
region_23	top
region_28	top
region_57	top
region_20	top
region_40	top
