species	reference_annot	taxon_id	scientific_name	strain	study_title	study_abstract	genotype	library_layout.y	library_construction_protocol	library_name	library_selection	library_strategy	instrument_model	insert_size	submission_lab	submission_center	updated_date	center_name	sample_accession	bio_project	bio_sample	run_accession
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans		Transcriptome analysis of Aspergillus nidulans pacC deletion mutant under alkaline culture condition	In this study, we investigated a role of Pal-PacC pH signaling in regulating cellulolytic genes. To gein a genome-wide insight into the PacC transcription factor, transcriptome of WT strain and the pacC deletion mutant were obtained and compared.		SINGLE -			RANDOM	RNA-Seq	Illumina MiSeq	0	MMRC, Chiba University	CHIBA_U	2016-04-18	CHIBA_U	DRS029039	PRJDB3191	SAMD00020560	DRR059453
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans		Transcriptome analysis of Aspergillus nidulans pacC deletion mutant under alkaline culture condition	In this study, we investigated a role of Pal-PacC pH signaling in regulating cellulolytic genes. To gein a genome-wide insight into the PacC transcription factor, transcriptome of WT strain and the pacC deletion mutant were obtained and compared.		SINGLE -			RANDOM	RNA-Seq	Illumina MiSeq	0	MMRC, Chiba University	CHIBA_U	2016-04-18	CHIBA_U	DRS029027	PRJDB3191	SAMD00020561	DRR059454
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans		Transcriptome analysis of Aspergillus nidulans pacC deletion mutant under alkaline culture condition	In this study, we investigated a role of Pal-PacC pH signaling in regulating cellulolytic genes. To gein a genome-wide insight into the PacC transcription factor, transcriptome of WT strain and the pacC deletion mutant were obtained and compared.		SINGLE -			RANDOM	RNA-Seq	Illumina MiSeq	0	MMRC, Chiba University	CHIBA_U	2016-04-18	CHIBA_U	DRS029044	PRJDB3191	SAMD00020562	DRR059455
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans		Transcriptome analysis of Aspergillus nidulans pacC deletion mutant under alkaline culture condition	In this study, we investigated a role of Pal-PacC pH signaling in regulating cellulolytic genes. To gein a genome-wide insight into the PacC transcription factor, transcriptome of WT strain and the pacC deletion mutant were obtained and compared.		SINGLE -			RANDOM	RNA-Seq	Illumina MiSeq	0	MMRC, Chiba University	CHIBA_U	2016-04-18	CHIBA_U	DRS029035	PRJDB3191	SAMD00020563	DRR059456
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans		Transcriptome analysis of Aspergillus nidulans pacC deletion mutant under alkaline culture condition	In this study, we investigated a role of Pal-PacC pH signaling in regulating cellulolytic genes. To gein a genome-wide insight into the PacC transcription factor, transcriptome of WT strain and the pacC deletion mutant were obtained and compared.		SINGLE -			RANDOM	RNA-Seq	Illumina MiSeq	0	MMRC, Chiba University	CHIBA_U	2016-04-18	CHIBA_U	DRS029041	PRJDB3191	SAMD00020564	DRR059457
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans		Transcriptome analysis of Aspergillus nidulans pacC deletion mutant under alkaline culture condition	In this study, we investigated a role of Pal-PacC pH signaling in regulating cellulolytic genes. To gein a genome-wide insight into the PacC transcription factor, transcriptome of WT strain and the pacC deletion mutant were obtained and compared.		SINGLE -			RANDOM	RNA-Seq	Illumina MiSeq	0	MMRC, Chiba University	CHIBA_U	2016-04-18	CHIBA_U	DRS029032	PRJDB3191	SAMD00020565	DRR059458
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032427	PRJDB4821	SAMD00051486	DRR060257
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032428	PRJDB4821	SAMD00051487	DRR060258
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032429	PRJDB4821	SAMD00051488	DRR060259
Aspergillus nidulans	FungiDB-42_AnidulansFGSCA4	162425	Aspergillus nidulans	FGSC A4	Genome-wide analysis of fungal transcriptional regulation by using high-throughput DNA sequencing	For identifying the genes that are regulated by a transcription factor (TF), we have established an analytical pipeline that combines genomic systematic evolution of ligands by exponential enrichment (gSELEX)-Seq and RNA-Seq. Differentially expressed genes related to AmyR were identified by using RNA-Seq analysis with samples from A. nidulans WT and amyR deletant, with or without isomaltose induction.		PAIRED - NOMINAL_LENGTH: 200;			cDNA	RNA-Seq	Illumina MiSeq	200	Laboratory of Molecular Biotechnology	NAGOYA	2016-07-14	NAGOYA	DRS032430	PRJDB4821	SAMD00051489	DRR060260
