comparison	type	group1	group2	design	samples
AN0148_sCopy_OE_vs_MH11036	pairwise	AN0148_sCopy_OE	MH11036	condition	AN0148_sCopy_OE_16h_polII_ChIPMix55_1;AN0148_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN0153_sCopy_OE_vs_MH11036	pairwise	AN0153_sCopy_OE	MH11036	condition	AN0153_sCopy_OE_16h_polII_ChIPMix55_1;AN0153_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN0533_sCopy_OE_vs_MH11036	pairwise	AN0533_sCopy_OE	MH11036	condition	AN0533_sCopy_OE_16h_polII_ChIPMix60_2;AN0533_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN10021_sCopy_OE_vs_MH11036	pairwise	AN10021_sCopy_OE	MH11036	condition	AN10021_sCopy_OE_16h_polII_ChIPMix60_1;AN10021_sCopy_OE_16h_polII_ChIPMix60_2;AN10021_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN1029_sCopy_OE_vs_MH11036	pairwise	AN1029_sCopy_OE	MH11036	condition	AN1029_sCopy_OE_16h_polII_ChIPMix55_1;AN1029_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN10294_sCopy_OE_vs_MH11036	pairwise	AN10294_sCopy_OE	MH11036	condition	AN10294_sCopy_OE_16h_polII_ChIPMix55_1;AN10294_sCopy_OE_16h_polII_ChIPMix55_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN10295_sCopy_OE_vs_MH11036	pairwise	AN10295_sCopy_OE	MH11036	condition	AN10295_sCopy_OE_96h_polII_ChIPMix34_1;AN10295_sCopy_OE_16h_polII_ChIPMix60_2;AN10295_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN10300_sCopy_OE_vs_MH11036	pairwise	AN10300_sCopy_OE	MH11036	condition	AN10300_sCopy_OE_16h_polII_ChIPMix36_1;AN10300_sCopy_OE_16h_polII_ChIPMix60_2;AN10300_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN10491_sCopy_OE_vs_MH11036	pairwise	AN10491_sCopy_OE	MH11036	condition	AN10491_sCopy_OE_16h_polII_ChIPMix55_1;AN10491_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN10600_sCopy_OE_vs_MH11036	pairwise	AN10600_sCopy_OE	MH11036	condition	AN10600_sCopy_OE_16h_polII_ChIPMix55_1;AN10600_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN1599_sCopy_OE_vs_MH11036	pairwise	AN1599_sCopy_OE	MH11036	condition	AN1599_sCopy_OE_16h_polII_ChIPMix60_1;AN1599_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN1678_sCopy_OE_vs_MH11036	pairwise	AN1678_sCopy_OE	MH11036	condition	AN1678_sCopy_OE_16h_polII_ChIPMix55_1;AN1678_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN2025_sCopy_OE_vs_MH11036	pairwise	AN2025_sCopy_OE	MH11036	condition	AN2025_sCopy_OE_16h_polII_ChIPMix36_1;AN2025_sCopy_OE_16h_polII_ChIPMix60_2;AN2025_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN2026_sCopy_OE_vs_MH11036	pairwise	AN2026_sCopy_OE	MH11036	condition	AN2026_sCopy_OE_16h_polII_ChIPMix60_1;AN2026_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN2036_sCopy_OE_vs_MH11036	pairwise	AN2036_sCopy_OE	MH11036	condition	AN2036_sCopy_OE_16h_polII_ChIPMix66_1;AN2036_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN2241_sCopy_OE_vs_MH11036	pairwise	AN2241_sCopy_OE	MH11036	condition	AN2241_sCopy_OE_16h_polII_ChIPMix36_1;AN2241_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN3280_sCopy_OE_vs_MH11036	pairwise	AN3280_sCopy_OE	MH11036	condition	AN3280_sCopy_OE_16h_polII_ChIPMix60_1;AN3280_sCopy_OE_16h_polII_ChIPMix66_2;AN3280_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN3391_sCopy_OE_vs_MH11036	pairwise	AN3391_sCopy_OE	MH11036	condition	AN3391_sCopy_OE_16h_polII_ChIPMix60_2;AN3391_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN3501_sCopy_OE_vs_MH11036	pairwise	AN3501_sCopy_OE	MH11036	condition	AN3501_sCopy_OE_16h_polII_ChIPMix60_2;AN3501_sCopy_OE_16h_polII_ChIPMix66_3;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN3502_sCopy_OE_vs_MH11036	pairwise	AN3502_sCopy_OE	MH11036	condition	AN3502_sCopy_OE_16h_polII_ChIPMix17_1;AN3502_sCopy_OE_16h_polII_ChIPMix60_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN3911_sCopy_OE_vs_MH11036	pairwise	AN3911_sCopy_OE	MH11036	condition	AN3911_sCopy_OE_16h_polII_ChIPMix60_1;AN3911_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN4562_sCopy_OE_vs_MH11036	pairwise	AN4562_sCopy_OE	MH11036	condition	AN4562_sCopy_OE_16h_polII_ChIPMix36_1;AN4562_sCopy_OE_16h_polII_ChIPMix55_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
AN4837_sCopy_OE_vs_MH11036	pairwise	AN4837_sCopy_OE	MH11036	condition	AN4837_sCopy_OE_16h_polII_ChIPMix60_1;AN4837_sCopy_OE_16h_polII_ChIPMix66_2;MH11036_16h_polII_ChIPMix19_1;MH11036_16h_polII_ChIPMix66_3
