sampleId	SM_TF	copyNumber	condition	timePoint	IP_tag	rep	control	peakType
AN0148_sCopy_OE_16h_polII_ChIPMix55_1	AN0148	sCopy_OE	AN0148_sCopy_OE	16h	polII	1	NA	NA
AN0148_sCopy_OE_16h_polII_ChIPMix66_2	AN0148	sCopy_OE	AN0148_sCopy_OE	16h	polII	2	NA	NA
AN0153_sCopy_OE_16h_polII_ChIPMix55_1	AN0153	sCopy_OE	AN0153_sCopy_OE	16h	polII	1	NA	NA
AN0153_sCopy_OE_16h_polII_ChIPMix60_2	AN0153	sCopy_OE	AN0153_sCopy_OE	16h	polII	2	NA	NA
AN0533_mCopy_OE_16h_polII_ChIPMix17_1	AN0533	mCopy_OE	AN0533_mCopy_OE	16h	polII	1	NA	NA
AN0533_sCopy_OE_16h_polII_ChIPMix60_2	AN0533	sCopy_OE	AN0533_sCopy_OE	16h	polII	2	NA	NA
AN0533_sCopy_OE_16h_polII_ChIPMix66_3	AN0533	sCopy_OE	AN0533_sCopy_OE	16h	polII	3	NA	NA
AN10021_sCopy_OE_16h_polII_ChIPMix60_1	AN10021	sCopy_OE	AN10021_sCopy_OE	16h	polII	1	NA	NA
AN10021_sCopy_OE_16h_polII_ChIPMix60_2	AN10021	sCopy_OE	AN10021_sCopy_OE	16h	polII	2	NA	NA
AN10021_sCopy_OE_16h_polII_ChIPMix66_3	AN10021	sCopy_OE	AN10021_sCopy_OE	16h	polII	3	NA	NA
AN1029_sCopy_OE_16h_polII_ChIPMix55_1	AN1029	sCopy_OE	AN1029_sCopy_OE	16h	polII	1	NA	NA
AN1029_sCopy_OE_16h_polII_ChIPMix66_2	AN1029	sCopy_OE	AN1029_sCopy_OE	16h	polII	2	NA	NA
AN10294_sCopy_OE_16h_polII_ChIPMix55_1	AN10294	sCopy_OE	AN10294_sCopy_OE	16h	polII	1	NA	NA
AN10294_sCopy_OE_16h_polII_ChIPMix55_2	AN10294	sCopy_OE	AN10294_sCopy_OE	16h	polII	2	NA	NA
AN10295_del_16h_polII_ChIPMix55_1	AN10295	deletion	AN10295_del	16h	polII	1	NA	NA
AN10295_mCopy_OE_16h_polII_ChIPMix17_1	AN10295	mCopy_OE	AN10295_mCopy_OE	16h	polII	1	NA	NA
AN10295_sCopy_OE_16h_polII_ChIPMix60_2	AN10295	sCopy_OE	AN10295_sCopy_OE	16h	polII	2	NA	NA
AN10295_sCopy_OE_16h_polII_ChIPMix66_3	AN10295	sCopy_OE	AN10295_sCopy_OE	16h	polII	3	NA	NA
AN10295_sCopy_OE_96h_polII_ChIPMix34_1	AN10295	sCopy_OE	AN10295_sCopy_OE	96h	polII	1	NA	NA
AN10300_sCopy_OE_16h_polII_ChIPMix36_1	AN10300	sCopy_OE	AN10300_sCopy_OE	16h	polII	1	NA	NA
AN10300_sCopy_OE_16h_polII_ChIPMix60_2	AN10300	sCopy_OE	AN10300_sCopy_OE	16h	polII	2	NA	NA
AN10300_sCopy_OE_16h_polII_ChIPMix66_3	AN10300	sCopy_OE	AN10300_sCopy_OE	16h	polII	3	NA	NA
AN10491_sCopy_OE_16h_polII_ChIPMix55_1	AN10491	sCopy_OE	AN10491_sCopy_OE	16h	polII	1	NA	NA
AN10491_sCopy_OE_16h_polII_ChIPMix60_2	AN10491	sCopy_OE	AN10491_sCopy_OE	16h	polII	2	NA	NA
AN10600_sCopy_OE_16h_polII_ChIPMix55_1	AN10600	sCopy_OE	AN10600_sCopy_OE	16h	polII	1	NA	NA
AN10600_sCopy_OE_16h_polII_ChIPMix60_2	AN10600	sCopy_OE	AN10600_sCopy_OE	16h	polII	2	NA	NA
AN1599_sCopy_OE_16h_polII_ChIPMix60_1	AN1599	sCopy_OE	AN1599_sCopy_OE	16h	polII	1	NA	NA
AN1599_sCopy_OE_16h_polII_ChIPMix66_2	AN1599	sCopy_OE	AN1599_sCopy_OE	16h	polII	2	NA	NA
AN1678_sCopy_OE_16h_polII_ChIPMix55_1	AN1678	sCopy_OE	AN1678_sCopy_OE	16h	polII	1	NA	NA
AN1678_sCopy_OE_16h_polII_ChIPMix60_2	AN1678	sCopy_OE	AN1678_sCopy_OE	16h	polII	2	NA	NA
AN2025_sCopy_OE_16h_polII_ChIPMix36_1	AN2025	sCopy_OE	AN2025_sCopy_OE	16h	polII	1	NA	NA
AN2025_sCopy_OE_16h_polII_ChIPMix60_2	AN2025	sCopy_OE	AN2025_sCopy_OE	16h	polII	2	NA	NA
AN2025_sCopy_OE_16h_polII_ChIPMix66_3	AN2025	sCopy_OE	AN2025_sCopy_OE	16h	polII	3	NA	NA
AN2026_sCopy_OE_16h_polII_ChIPMix60_1	AN2026	sCopy_OE	AN2026_sCopy_OE	16h	polII	1	NA	NA
AN2026_sCopy_OE_16h_polII_ChIPMix60_2	AN2026	sCopy_OE	AN2026_sCopy_OE	16h	polII	2	NA	NA
AN2036_sCopy_OE_16h_polII_ChIPMix66_1	AN2036	sCopy_OE	AN2036_sCopy_OE	16h	polII	1	NA	NA
AN2036_sCopy_OE_16h_polII_ChIPMix66_2	AN2036	sCopy_OE	AN2036_sCopy_OE	16h	polII	2	NA	NA
AN2241_sCopy_OE_16h_polII_ChIPMix36_1	AN2241	sCopy_OE	AN2241_sCopy_OE	16h	polII	1	NA	NA
AN2241_sCopy_OE_16h_polII_ChIPMix60_2	AN2241	sCopy_OE	AN2241_sCopy_OE	16h	polII	2	NA	NA
AN2553_mCopy_OE_16h_polII_ChIPMix17_1	AN2553	mCopy_OE	AN2553_mCopy_OE	16h	polII	1	NA	NA
AN2553_sCopy_OE_16h_polII_ChIPMix66_2	AN2553	sCopy_OE	AN2553_sCopy_OE	16h	polII	2	NA	NA
