SM_ID	has_tf	tf_data	tf_with_chip	polII_data	tf_with_polII
cluster_01	has_tf	no_data	has_tf:no_data	no_data	no_tf:no_data
cluster_02	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_03	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_04	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_05	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_06	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_07	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_08	has_tf	has_data	has_tf:has_data	has_data	has_tf:no_data
cluster_09	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_10	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_11	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_12	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_13	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_14	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_15	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_16	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_17	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_18	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_19	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_20	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_21	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_22	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_23	has_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_24	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_25	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_26	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_27	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_28	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_29	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_30	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_31	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_32	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_33	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_34	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_35	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_36	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_37	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_38	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_39	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_40	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_41	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_42	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_43	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_44	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_45	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_46	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_47	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_48	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_49	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_50	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_51	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_52	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_53	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_54	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_55	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_56	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_57	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_58	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_59	has_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_60	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_61	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_62	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_63	has_tf	has_data	has_tf:has_data	has_data	has_tf:has_data
cluster_64	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_65	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_66	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_67	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
cluster_68	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_69	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_70	has_tf	no_data	has_tf:no_data	no_data	has_tf:no_data
cluster_71	no_tf	no_data	no_tf:no_data	no_data	no_tf:no_data
