geneId	copyNumber	has_TF_ChIP	has_polII_Chip	tfId	degId	SM_ID
AN8414	sCopy	has_data	has_data	apdR_sCopy_OE_16h_FLAG_ChIPMix64_3	apdR_sCopy_OE_vs_MH11036	cluster_03
AN8391	sCopy	has_data	has_data	AN8391_sCopy_OE_16h_HA_ChIPMix55_2	AN8391_sCopy_OE_vs_MH11036	cluster_05
AN7896	sCopy	has_data	has_data	AN7896_sCopy_OE_16h_HA_ChIPMix55_3	AN7896_sCopy_OE_vs_MH11036	cluster_06
AN7919	sCopy	has_data	has_data	AN7919_sCopy_OE_16h_HA_ChIPMix36_2	AN7919_sCopy_OE_vs_MH11036	cluster_07
AN7921	sCopy	has_data	has_data	AN7921_sCopy_OE_16h_HA_ChIPMix55_2	AN7921_sCopy_OE_vs_MH11036	cluster_07
AN7923	sCopy	has_data	has_data	AN7923_sCopy_OE_16h_HA_ChIPMix55_1	AN7923_sCopy_OE_vs_MH11036	cluster_07
AN2553	msCopy	has_data	has_data	AN2553_sCopy_OE_16h_HIS_ChIPMix36_2	AN2553_msCopy_OE_vs_MH11036	cluster_08
AN3501	sCopy	has_data	has_data	AN3501_sCopy_OE_16h_HA_ChIPMix55_1	AN3501_sCopy_OE_vs_MH11036	cluster_09
AN3502	sCopy	has_data	has_data	AN3502_sCopy_OE_16h_HA_ChIPMix17_1	AN3502_sCopy_OE_vs_MH11036	cluster_09
AN3391	sCopy	has_data	has_data	AN3391_sCopy_OE_16h_HA_ChIPMix36_2	AN3391_sCopy_OE_vs_MH11036	cluster_11
AN0148	sCopy	has_data	has_data	AN0148_sCopy_OE_16h_HA_ChIPMix46_1	AN0148_sCopy_OE_vs_MH11036	cluster_12
AN0153	sCopy	has_data	has_data	AN0153_sCopy_OE_16h_HA_ChIPMix64_3	AN0153_sCopy_OE_vs_MH11036	cluster_12
AN10021	sCopy	has_data	has_data	AN10021_sCopy_OE_16h_HA_ChIPMix36_1	AN10021_sCopy_OE_vs_MH11036	cluster_12
AN0533	sCopy	has_data	has_data	AN0533_sCopy_OE_16h_HIS_ChIPMix64_3	AN0533_sCopy_OE_vs_MH11036	cluster_15
AN7061	sCopy	has_data	has_data	AN7061_sCopy_OE_16h_HA_ChIPMix64_2	AN7061_sCopy_OE_vs_MH11036	cluster_17
AN7072	sCopy	has_data	has_data	AN7072_sCopy_OE_16h_HA_ChIPMix55_2	AN7072_sCopy_OE_vs_MH11036	cluster_17
AN2036	sCopy	has_data	has_data	AN2036_sCopy_OE_16h_HA_ChIPMix64_1	AN2036_sCopy_OE_vs_MH11036	cluster_18
AN7820	sCopy	has_data	has_data	AN7820_sCopy_OE_16h_HA_ChIPMix55_3	AN7820_sCopy_OE_vs_MH11036	cluster_20
AN8509	sCopy	has_data	has_data	AN8509_sCopy_OE_16h_HA_ChIPMix55_1	AN8509_sCopy_OE_vs_MH11036	cluster_21
AN8506	msCopy	has_data	has_data	AN8506_sCopy_OE_16h_FLAG_ChIPMix36_2	AN8506_msCopy_OE_vs_MH11036	cluster_21
AN6788	sCopy	has_data	has_data	AN6788_sCopy_OE_16h_HA_ChIPMix36_2	AN6788_sCopy_OE_vs_MH11036	cluster_22
AN6790	msCopy	has_data	has_data	AN6790_sCopy_OE_16h_FLAG_ChIPMix36_2	AN6790_msCopy_OE_vs_MH11036	cluster_22
AN10294	sCopy	has_data	has_data	AN10294_sCopy_OE_16h_HA_ChIPMix46_1	AN10294_sCopy_OE_vs_MH11036	cluster_26
AN10295	sCopy	has_data	has_data	AN10295_sCopy_OE_16h_HA_ChIPMix64_3	AN10295_sCopy_OE_vs_MH11036	cluster_26
AN10300	sCopy	has_data	has_data	AN10300_sCopy_OE_16h_FLAG_ChIPMix46_2	AN10300_sCopy_OE_vs_MH11036	cluster_27
AN10491	sCopy	has_data	has_data	AN10491_sCopy_OE_16h_HA_ChIPMix46_2	AN10491_sCopy_OE_vs_MH11036	cluster_30
AN3911	sCopy	has_data	has_data	AN3911_sCopy_OE_16h_FLAG_ChIPMix36_1	AN3911_sCopy_OE_vs_MH11036	cluster_30
AN1599	sCopy	has_data	has_data	AN1599_sCopy_OE_16h_HA_ChIPMix46_2	AN1599_sCopy_OE_vs_MH11036	cluster_37
AN1678	sCopy	has_data	has_data	AN1678_sCopy_OE_16h_HIS_ChIPMix36_1	AN1678_sCopy_OE_vs_MH11036	cluster_38
