geneId	has_TF_ChIP	has_polII_Chip	SM_ID
AN1029	has_data	has_data	cluster_01
AN8414	has_data	has_data	cluster_03
AN8391	has_data	has_data	cluster_05
AN7896	has_data	has_data	cluster_06
AN7919	has_data	has_data	cluster_07
AN7921	has_data	has_data	cluster_07
AN7923	has_data	has_data	cluster_07
AN3501	has_data	has_data	cluster_09
AN3502	has_data	has_data	cluster_09
AN3391	has_data	has_data	cluster_11
AN0153	has_data	has_data	cluster_12
AN0148	has_data	has_data	cluster_12
AN10021	has_data	has_data	cluster_12
AN0533	has_data	has_data	cluster_15
AN7061	has_data	has_data	cluster_17
AN7072	has_data	has_data	cluster_17
AN2036	has_data	has_data	cluster_18
AN7820	has_data	has_data	cluster_20
AN8509	has_data	has_data	cluster_21
AN6788	has_data	has_data	cluster_22
AN10294	has_data	has_data	cluster_26
AN10295	has_data	has_data	cluster_26
AN10300	has_data	has_data	cluster_27
AN3911	has_data	has_data	cluster_30
AN10491	has_data	has_data	cluster_30
AN1599	has_data	has_data	cluster_37
AN1678	has_data	has_data	cluster_38
AN3280	has_data	has_data	cluster_44
AN10600	has_data	has_data	cluster_46
AN4837	has_data	has_data	cluster_46
AN5609	has_data	has_data	cluster_49
AN6430	has_data	has_data	cluster_51
AN7872	has_data	has_data	cluster_56
AN8111	has_data	has_data	cluster_57
AN8251	has_data	has_data	cluster_60
AN8902	has_data	has_data	cluster_62
AN9013	has_data	has_data	cluster_63
AN2025	has_data	has_data	NA
AN2026	has_data	has_data	NA
AN4562	has_data	has_data	NA
AN4933	has_data	has_data	NA
AN2241	has_data	has_data	NA
AN7513	has_data	has_data	NA
AN8645	has_data	has_data	NA
AN8741	has_data	has_data	NA
AN2553	has_data	no_data	cluster_08
AN6790	has_data	no_data	cluster_22
AN3269	has_data	no_data	cluster_44
AN8506	has_data	no_data	cluster_21
AN3492	has_data	no_data	cluster_09
AN7073	has_data	no_data	cluster_17
AN3506	no_data	no_data	cluster_09
AN6446	no_data	no_data	cluster_14
AN3224	no_data	no_data	cluster_16
AN3385	no_data	no_data	cluster_19
AN0026	no_data	no_data	cluster_24
AN3369	no_data	no_data	cluster_28
AN3607	no_data	no_data	cluster_29
AN9221	no_data	no_data	cluster_33
AN9236	no_data	no_data	cluster_34
AN2919	no_data	no_data	cluster_42
AN8103	no_data	no_data	cluster_57
AN9292	no_data	no_data	cluster_66
AN11195	no_data	no_data	cluster_68
AN0658	no_data	no_data	cluster_70
AN8916	no_data	no_data	NA
AN8918	no_data	no_data	NA
