geneId	group
AN0078	sexual
AN0098	sexual
AN0387	sexual
AN0472	sexual
AN0556	sexual
AN0640	sexual
AN0641	sexual
AN0648	sexual
AN0673	sexual
AN0699	sexual
AN0733	sexual
AN0807	sexual
AN0917	sexual
AN10208	sexual
AN10223	sexual
AN10227	sexual
AN10229	sexual
AN10306	sexual
AN10413	sexual
AN1046	sexual
AN10504	sexual
AN10516	sexual
AN10677	sexual
AN10879	sexual
AN10902	sexual
AN11007	sexual
AN11055	sexual
AN11206	sexual
AN1222	sexual
AN1333	sexual
AN1359	sexual
AN1376	sexual
AN1402	sexual
AN1475	sexual
AN1641	sexual
AN1661	sexual
AN1771	sexual
AN2062	sexual
AN2066	sexual
AN2071	sexual
AN2130	sexual
AN2224	sexual
AN2233	sexual
AN2263	sexual
AN2290	sexual
AN2330	sexual
AN2419	sexual
AN2426	sexual
AN2458	sexual
AN2484	sexual
AN2520	sexual
AN2555	sexual
AN2701	sexual
AN2705	sexual
AN2707	sexual
AN2755	sexual
AN2856	sexual
AN2862	sexual
AN3065	sexual
AN3148	sexual
AN3152	sexual
AN3385	sexual
AN3387	sexual
AN3594	sexual
AN3598	sexual
AN3634	sexual
AN3695	sexual
AN3727	sexual
AN3813	sexual
AN4052	sexual
AN4163	sexual
AN4169	sexual
AN4288	sexual
AN4385	sexual
AN4390	sexual
AN4407	sexual
AN4419	sexual
AN4562	sexual
AN4601	sexual
AN4615	sexual
AN4636	sexual
AN4702	sexual
AN4709	sexual
AN4734	sexual
AN4783	sexual
AN4894	sexual
AN4997	sexual
AN4998	sexual
AN5170	sexual
AN5517	sexual
AN5523	sexual
AN5579	sexual
AN5592	sexual
AN5614	sexual
AN5619	sexual
AN5629	sexual
AN5651	sexual
AN5656	sexual
AN5686	sexual
AN5703	sexual
AN5759	sexual
AN5795	sexual
AN5798	sexual
AN6077	sexual
AN6157	sexual
AN6190	sexual
AN6221	sexual
AN6231	sexual
AN6340	sexual
AN6494	sexual
AN6505	sexual
AN6542	sexual
AN6611	sexual
AN6638	sexual
AN6866	sexual
AN7093	sexual
AN7106	sexual
AN7135	sexual
AN7169	sexual
AN7252	sexual
AN7296	sexual
AN7349	sexual
AN7388	sexual
AN7533	sexual
AN7562	sexual
AN7570	sexual
AN7678	sexual
AN7743	sexual
AN7770	sexual
AN7902	sexual
AN7993	sexual
AN8605	sexual
AN9008	sexual
AN9327	sexual
AN9380	sexual
AN9408	sexual
AN9450	sexual
AN9504	sexual
AN9528	sexual
AN0055	common
AN0081	common
AN0082	common
AN0144	common
AN0182	common
AN0279	common
AN0363	common
AN0410	common
AN0420	common
AN0651	common
AN0721	common
AN0822	common
AN0931	common
AN10030	common
AN10153	common
AN1016	common
AN1017	common
AN10193	common
AN10515	common
AN1052	common
AN10610	common
AN11032	common
AN11063	common
AN1171	common
AN11891	common
AN1267	common
AN1394	common
AN1491	common
AN1536	common
AN1539	common
AN1545	common
AN1555	common
AN1848	common
AN1967	common
AN2047	common
AN2094	common
AN2129	common
AN2269	common
AN2412	common
AN2489	common
AN2505	common
AN2706	common
AN2742	common
AN2919	common
AN3036	common
AN3095	common
AN3416	common
AN3422	common
AN3435	common
AN3437	common
AN3607	common
AN3623	common
AN3719	common
AN3826	common
AN3913	common
AN4189	common
AN4263	common
AN4501	common
AN4566	common
AN4570	common
AN4632	common
AN4685	common
AN4887	common
AN4935	common
AN5028	common
AN5156	common
AN5195	common
AN5457	common
AN5635	common
AN5666	common
AN5836	common
AN6046	common
AN6197	common
