SM_TF	timePoint	condition	degId	tfId
AN0148	16h	AN0148_sCopy_OE	AN0148_sCopy_OE_vs_MH11036	AN0148_sCopy_OE_16h_HA_ChIPMix46_1
AN0153	16h	AN0153_sCopy_OE	AN0153_sCopy_OE_vs_MH11036	AN0153_sCopy_OE_16h_HA_ChIPMix64_3
AN0533	16h	AN0533_sCopy_OE	AN0533_sCopy_OE_vs_MH11036	AN0533_sCopy_OE_16h_HIS_ChIPMix36_2
AN10021	16h	AN10021_sCopy_OE	AN10021_sCopy_OE_vs_MH11036	AN10021_sCopy_OE_16h_HA_ChIPMix36_1
AN1029	16h	AN1029_sCopy_OE	AN1029_sCopy_OE_vs_MH11036	AN1029_sCopy_OE_16h_HA_ChIPMix46_2
AN10294	16h	AN10294_sCopy_OE	AN10294_sCopy_OE_vs_MH11036	AN10294_sCopy_OE_16h_HA_ChIPMix46_1
AN10295	16h	AN10295_sCopy_OE	AN10295_sCopy_OE_vs_MH11036	AN10295_sCopy_OE_16h_HA_ChIPMix64_3
AN10300	16h	AN10300_sCopy_OE	AN10300_sCopy_OE_vs_MH11036	AN10300_sCopy_OE_16h_FLAG_ChIPMix46_2
AN10491	16h	AN10491_sCopy_OE	AN10491_sCopy_OE_vs_MH11036	AN10491_sCopy_OE_16h_HA_ChIPMix46_2
AN10600	16h	AN10600_sCopy_OE	AN10600_sCopy_OE_vs_MH11036	AN10600_sCopy_OE_16h_HA_ChIPMix55_2
AN1599	16h	AN1599_sCopy_OE	AN1599_sCopy_OE_vs_MH11036	AN1599_sCopy_OE_16h_HA_ChIPMix46_2
AN1678	16h	AN1678_sCopy_OE	AN1678_sCopy_OE_vs_MH11036	AN1678_sCopy_OE_16h_HIS_ChIPMix36_1
AN2025	16h	AN2025_sCopy_OE	AN2025_sCopy_OE_vs_MH11036	AN2025_sCopy_OE_16h_HA_ChIPMix36_1
AN2026	16h	AN2026_sCopy_OE	AN2026_sCopy_OE_vs_MH11036	AN2026_sCopy_OE_16h_HA_ChIPMix46_1
AN2036	16h	AN2036_sCopy_OE	AN2036_sCopy_OE_vs_MH11036	AN2036_sCopy_OE_16h_HA_ChIPMix64_1
AN2241	16h	AN2241_sCopy_OE	AN2241_sCopy_OE_vs_MH11036	AN2241_sCopy_OE_16h_HA_ChIPMix36_1
AN3280	16h	AN3280_sCopy_OE	AN3280_sCopy_OE_vs_MH11036	AN3280_sCopy_OE_16h_HA_ChIPMix64_3
AN3391	16h	AN3391_sCopy_OE	AN3391_sCopy_OE_vs_MH11036	AN3391_sCopy_OE_16h_HA_ChIPMix36_2
AN3501	16h	AN3501_sCopy_OE	AN3501_sCopy_OE_vs_MH11036	AN3501_sCopy_OE_16h_HA_ChIPMix55_1
AN3502	16h	AN3502_sCopy_OE	AN3502_sCopy_OE_vs_MH11036	AN3502_sCopy_OE_16h_HA_ChIPMix17_1
AN3911	16h	AN3911_sCopy_OE	AN3911_sCopy_OE_vs_MH11036	AN3911_sCopy_OE_16h_FLAG_ChIPMix36_1
AN4562	16h	AN4562_sCopy_OE	AN4562_sCopy_OE_vs_MH11036	AN4562_sCopy_OE_16h_HA_ChIPMix46_1
AN4837	16h	AN4837_sCopy_OE	AN4837_sCopy_OE_vs_MH11036	AN4837_sCopy_OE_16h_HA_ChIPMix55_1
