geneId	regionId	region	SM_IDs	nClusters
AN6451	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6450	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6449	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN11922	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6448	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6447	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6446	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6445	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6444	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6443	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN11921	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN11920	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6441	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6440	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6439	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6438	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14	1
AN6437	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14;cluster_51	2
AN6436	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_14;cluster_51	2
AN6435	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN6434	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN6433	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN10816	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN6432	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN6431	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN6430	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN6429	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN6428	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN6427	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN6426	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN10818	region_01	ChrI_A_nidulans_FGSC_A4:128977-232965	cluster_51	1
AN11851	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6242	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6241	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6240	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6239	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6238	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6237	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6236	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6235	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6234	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6233	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN12360	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6232	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6231	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6230	region_02	ChrI_A_nidulans_FGSC_A4:780859-826200	cluster_50	1
AN6009	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN6007	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN6006	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN6005	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN6004	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN12262	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
AN6003	region_03	ChrI_A_nidulans_FGSC_A4:1521481-1574083	cluster_02	1
